station_id,time,Water_Level,Water_Level_LAT,Water_Level_OD_Malin,QC_Flag,longitude,latitude,altitude
,UTC,m,m,m,,degrees_east,degrees_north,m
Castletownbere,2016-11-06T00:00:00Z,1.968,1.968,-0.52,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T00:15:00Z,1.888,1.888,-0.6,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T00:30:00Z,1.808,1.808,-0.68,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T00:45:00Z,1.758,1.758,-0.73,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T01:00:00Z,1.678,1.678,-0.81,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T01:15:00Z,1.648,1.648,-0.84,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T01:30:00Z,1.628,1.628,-0.86,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T01:45:00Z,1.598,1.598,-0.89,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T02:00:00Z,1.548,1.548,-0.94,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T02:15:00Z,1.568,1.568,-0.92,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T02:30:00Z,1.598,1.598,-0.89,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T02:45:00Z,1.608,1.608,-0.88,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T03:00:00Z,1.618,1.618,-0.87,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T03:15:00Z,1.708,1.708,-0.78,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T03:30:00Z,1.778,1.778,-0.71,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T03:45:00Z,1.848,1.848,-0.64,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T04:00:00Z,1.888,1.888,-0.6,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T04:15:00Z,1.968,1.968,-0.52,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T04:30:00Z,2.068,2.068,-0.42,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T04:45:00Z,2.128,2.128,-0.36,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T05:00:00Z,2.208,2.208,-0.28,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T05:15:00Z,2.348,2.348,-0.14,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T05:30:00Z,2.458,2.458,-0.03,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T05:45:00Z,2.568,2.568,0.08,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T06:00:00Z,2.678,2.678,0.19,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T06:15:00Z,2.798,2.798,0.31,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T06:30:00Z,2.878,2.878,0.39,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T06:45:00Z,2.948,2.948,0.46,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T07:00:00Z,3.028,3.028,0.54,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T07:15:00Z,3.108,3.108,0.62,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T07:30:00Z,3.178,3.178,0.69,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T07:45:00Z,3.238,3.238,0.75,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T08:00:00Z,3.258,3.258,0.77,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T08:15:00Z,3.288,3.288,0.8,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T08:30:00Z,3.298,3.298,0.81,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T08:45:00Z,3.248,3.248,0.76,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T09:00:00Z,3.218,3.218,0.73,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T09:15:00Z,3.198,3.198,0.71,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T09:30:00Z,3.128,3.128,0.64,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T09:45:00Z,3.058,3.058,0.57,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T10:00:00Z,2.978,2.978,0.49,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T10:15:00Z,2.898,2.898,0.41,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T10:30:00Z,2.778,2.778,0.29,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T10:45:00Z,2.668,2.668,0.18,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T11:00:00Z,2.558,2.558,0.07,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T11:15:00Z,2.448,2.448,-0.04,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T11:30:00Z,2.328,2.328,-0.16,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T11:45:00Z,2.218,2.218,-0.27,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T12:00:00Z,2.098,2.098,-0.39,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T12:15:00Z,2.038,2.038,-0.45,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T12:30:00Z,1.938,1.938,-0.55,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T12:45:00Z,1.838,1.838,-0.65,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T13:00:00Z,1.778,1.778,-0.71,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T13:15:00Z,1.728,1.728,-0.76,0.0,-9.9034,51.6496,0.0
Castletownbere,2016-11-06T13:30:00Z,1.638,1.638,-0.85,0.0,-9.9034,51.6496,0.0
